Station ID,Date Time,WL (mMSL)
SW114,2023-01-01,1.23
SW114,2023-01-02,1.18
SW114,2023-01-03,1.2
SW114,2023-01-04,1.14
SW114,2023-01-05,1.11
SW114,2023-01-06,1.1
SW114,2023-01-07,1.14
SW114,2023-01-08,1.11
SW114,2023-01-09,1.09
SW114,2023-01-10,1.08
SW114,2023-01-11,1.14
SW114,2023-01-12,1.07
SW114,2023-01-13,0.99
SW114,2023-01-14,0.96
SW114,2023-01-15,0.95
SW114,2023-01-16,0.94
SW114,2023-01-17,0.95
SW114,2023-01-18,0.94
SW114,2023-01-19,0.91
SW114,2023-01-20,0.9
SW114,2023-01-21,0.91
SW114,2023-01-22,0.93
SW114,2023-01-23,0.92
SW114,2023-01-24,0.95
SW114,2023-01-25,1.01
SW114,2023-01-26,1.04
SW114,2023-01-27,1.01
SW114,2023-01-28,0.98
SW114,2023-01-29,0.92
SW114,2023-01-30,0.85
SW114,2023-01-31,0.81
SW114,2023-02-01,0.8
SW114,2023-02-02,0.81
SW114,2023-02-03,0.83
SW114,2023-02-04,0.81
SW114,2023-02-05,0.85
SW114,2023-02-06,0.92
SW114,2023-02-07,0.9
SW114,2023-02-08,0.93
SW114,2023-02-09,0.91
SW114,2023-02-10,0.89
SW114,2023-02-11,0.92
SW114,2023-02-12,0.89
SW114,2023-02-13,0.86
SW114,2023-02-14,0.83
SW114,2023-02-15,0.81
SW114,2023-02-16,0.78
SW114,2023-02-17,0.8
SW114,2023-02-18,0.82
SW114,2023-02-19,0.84
SW114,2023-02-20,0.92
SW114,2023-02-21,1.03
SW114,2023-02-22,1.1
SW114,2023-02-23,1.17
SW114,2023-02-24,1.19
SW114,2023-02-25,1.14
SW114,2023-02-26,1.09
SW114,2023-02-27,1.06
SW114,2023-02-28,0.94
SW114,2023-03-01,0.82
SW114,2023-03-02,0.79
SW114,2023-03-03,0.8
SW114,2023-03-04,0.79
SW114,2023-03-05,0.8
SW114,2023-03-06,0.78
SW114,2023-03-07,0.76
SW114,2023-03-08,0.74
SW114,2023-03-09,0.72
SW114,2023-03-10,0.77
SW114,2023-03-11,0.79
SW114,2023-03-12,0.82
SW114,2023-03-13,0.84
SW114,2023-03-14,0.82
SW114,2023-03-15,0.77
SW114,2023-03-16,0.81
SW114,2023-03-17,0.83
SW114,2023-03-18,0.8
SW114,2023-03-19,0.88
SW114,2023-03-20,0.92
SW114,2023-03-21,1.12
SW114,2023-03-22,1.18
SW114,2023-03-23,1.29
SW114,2023-03-24,1.3
SW114,2023-03-25,1.24
SW114,2023-03-26,1.13
SW114,2023-03-27,1.05
SW114,2023-03-28,0.88
SW114,2023-03-29,0.8
SW114,2023-03-30,0.76
SW114,2023-03-31,0.82
SW114,2023-04-01,0.9
SW114,2023-04-02,1.16
SW114,2023-04-03,1.16
SW114,2023-04-04,1.22
SW114,2023-04-05,1.39
SW114,2023-04-06,1.33
SW114,2023-04-07,1.28
SW114,2023-04-08,1.19
SW114,2023-04-09,1.11
SW114,2023-04-10,1.02
SW114,2023-04-11,0.92
SW114,2023-04-12,0.88
SW114,2023-04-13,0.78
SW114,2023-04-14,0.73
SW114,2023-04-15,0.85
SW114,2023-04-16,0.88
SW114,2023-04-17,0.96
SW114,2023-04-18,1.06
SW114,2023-04-19,1.19
SW114,2023-04-20,1.3
SW114,2023-04-21,1.32
SW114,2023-04-22,1.51
SW114,2023-04-23,1.46
SW114,2023-04-24,1.31
SW114,2023-04-25,1.1
SW114,2023-04-26,0.98
SW114,2023-04-27,0.89
SW114,2023-04-28,0.81
SW114,2023-04-29,0.82
SW114,2023-04-30,0.79
SW114,2023-05-01,0.78
SW114,2023-05-02,0.77
SW114,2023-05-03,0.82
SW114,2023-05-04,0.95
SW114,2023-05-05,1.07
SW114,2023-05-06,1.11
SW114,2023-05-07,1.21
SW114,2023-05-08,1.22
SW114,2023-05-09,1.23
SW114,2023-05-10,1.17
SW114,2023-05-11,1.19
SW114,2023-05-12,1.2
SW114,2023-05-13,1.25
SW114,2023-05-14,1.64
SW114,2023-05-15,1.36
SW114,2023-05-16,1.59
SW114,2023-05-17,1.71
SW114,2023-05-18,1.73
SW114,2023-05-19,1.63
SW114,2023-05-20,1.6
SW114,2023-05-21,1.63
SW114,2023-05-22,1.64
SW114,2023-05-23,1.55
SW114,2023-05-24,1.51
SW114,2023-05-25,1.59
SW114,2023-05-26,1.53
SW114,2023-05-27,1.38
SW114,2023-05-28,1.27
SW114,2023-05-29,1.26
SW114,2023-05-30,1.19
SW114,2023-05-31,1.18
SW114,2023-06-01,1.24
SW114,2023-06-02,1.34
SW114,2023-06-03,1.41
SW114,2023-06-04,1.53
SW114,2023-06-05,1.58
SW114,2023-06-06,1.57
SW114,2023-06-07,1.57
SW114,2023-06-08,1.52
SW114,2023-06-09,1.48
SW114,2023-06-10,1.69
SW114,2023-06-11,1.53
SW114,2023-06-12,1.71
SW114,2023-06-13,1.75
SW114,2023-06-14,1.89
SW114,2023-06-15,1.86
SW114,2023-06-16,1.86
SW114,2023-06-17,1.99
SW114,2023-06-18,2.32
SW114,2023-06-19,2.79
SW114,2023-06-20,2.7
SW114,2023-06-21,3.21
SW114,2023-06-22,3.01
SW114,2023-06-23,2.77
SW114,2023-06-24,2.67
SW114,2023-06-25,2.71
SW114,2023-06-26,2.66
SW114,2023-06-27,2.66
SW114,2023-06-28,2.6
SW114,2023-06-29,2.54
SW114,2023-06-30,2.51
SW114,2023-07-01,2.64
SW114,2023-07-02,3.2
SW114,2023-07-03,3.25
SW114,2023-07-04,3.02
SW114,2023-07-05,2.92
SW114,2023-07-06,3.48
SW114,2023-07-07,3.59
SW114,2023-07-08,3.32
SW114,2023-07-09,3.13
SW114,2023-07-10,2.97
SW114,2023-07-11,2.94
SW114,2023-07-12,2.85
SW114,2023-07-13,2.84
SW114,2023-07-14,2.84
SW114,2023-07-15,2.87
SW114,2023-07-16,2.97
SW114,2023-07-17,3.05
SW114,2023-07-18,3.0
SW114,2023-07-19,3.1
SW114,2023-07-20,3.18
SW114,2023-07-21,3.1
SW114,2023-07-22,3.09
SW114,2023-07-23,3.09
SW114,2023-07-24,3.05
SW114,2023-07-25,2.95
SW114,2023-07-26,3.02
SW114,2023-07-27,3.15
SW114,2023-07-28,2.92
SW114,2023-07-29,2.81
SW114,2023-07-30,2.76
SW114,2023-07-31,2.71
SW114,2023-08-01,3.06
SW114,2023-08-02,3.14
SW114,2023-08-03,3.14
SW114,2023-08-04,3.19
SW114,2023-08-05,3.6
SW114,2023-08-06,3.69
SW114,2023-08-07,4.03
SW114,2023-08-08,4.99
SW114,2023-08-09,5.68
SW114,2023-08-10,5.75
SW114,2023-08-11,5.09
SW114,2023-08-12,4.34
SW114,2023-08-13,3.99
SW114,2023-08-14,3.73
SW114,2023-08-15,3.62
SW114,2023-08-16,3.7
SW114,2023-08-17,4.46
SW114,2023-08-18,4.32
SW114,2023-08-19,3.97
SW114,2023-08-20,3.76
SW114,2023-08-21,3.66
SW114,2023-08-22,3.47
SW114,2023-08-23,3.36
SW114,2023-08-24,3.25
SW114,2023-08-25,3.17
SW114,2023-08-26,3.11
SW114,2023-08-27,3.11
SW114,2023-08-28,4.11
SW114,2023-08-29,4.29
SW114,2023-08-30,3.94
SW114,2023-08-31,3.65
SW114,2023-09-01,3.76
SW114,2023-09-02,3.86
SW114,2023-09-03,3.77
SW114,2023-09-04,3.96
SW114,2023-09-05,3.83
SW114,2023-09-06,3.63
SW114,2023-09-07,3.44
SW114,2023-09-08,3.62
SW114,2023-09-09,3.53
SW114,2023-09-10,3.24
SW114,2023-09-11,3.0
SW114,2023-09-12,2.96
SW114,2023-09-13,3.1
SW114,2023-09-14,3.26
SW114,2023-09-15,3.1
SW114,2023-09-16,2.97
SW114,2023-09-17,2.85
SW114,2023-09-18,2.72
SW114,2023-09-19,2.86
SW114,2023-09-20,2.98
SW114,2023-09-21,3.0
SW114,2023-09-22,2.99
SW114,2023-09-23,2.87
SW114,2023-09-24,2.73
SW114,2023-09-25,2.68
SW114,2023-09-26,2.62
SW114,2023-09-27,2.6
SW114,2023-09-28,2.64
SW114,2023-09-29,2.73
SW114,2023-09-30,2.86
SW114,2023-10-01,2.97
SW114,2023-10-02,3.05
SW114,2023-10-03,3.0
SW114,2023-10-04,2.94
SW114,2023-10-05,2.96
SW114,2023-10-06,2.97
SW114,2023-10-07,2.96
SW114,2023-10-08,2.81
SW114,2023-10-09,2.78
SW114,2023-10-10,2.79
SW114,2023-10-11,2.71
SW114,2023-10-12,2.72
SW114,2023-10-13,2.72
SW114,2023-10-14,2.75
SW114,2023-10-15,2.74
SW114,2023-10-16,2.73
SW114,2023-10-17,2.69
SW114,2023-10-18,2.6
SW114,2023-10-19,2.53
SW114,2023-10-20,2.43
SW114,2023-10-21,2.31
SW114,2023-10-22,2.18
SW114,2023-10-23,1.96
SW114,2023-10-24,1.9
SW114,2023-10-25,1.93
SW114,2023-10-26,2.04
SW114,2023-10-27,2.07
SW114,2023-10-28,2.05
SW114,2023-10-29,1.97
