Date,wse,flag
2023-07-27 23:18:48,1.3274,1
2023-08-09 08:36:26,6.1216,1
2023-08-30 05:21:31,8.0709,1
2023-09-07 16:48:59,3.8895,1
2023-09-20 02:06:36,4.355,1
2023-09-28 13:34:03,5.3344,1
2023-10-10 22:51:39,6.346,1
2023-10-19 10:19:07,5.3029,1
2023-10-31 19:36:44,4.1792,1
2023-11-09 07:04:12,0.1087,1
2023-11-21 16:21:49,3.8587,1
2023-11-30 03:49:17,-1.239,1
2023-12-12 13:06:53,3.5716,1
2023-12-21 00:34:21,3.3932,1
2024-01-23 06:37:05,3.1188,1
2024-01-31 18:04:33,7.8736,1
2024-02-13 03:22:10,2.9189,1
2024-02-21 14:49:38,6.3841,1
2024-03-05 00:07:15,6.2068,1
2024-03-13 11:34:40,8.3682,1
2024-03-25 20:52:18,2.5104,1
2024-04-03 08:19:45,5.5333,1
2024-04-15 17:37:23,2.4618,1
2024-04-24 05:04:51,-1.5446,1
2024-05-06 14:22:27,2.4276,1
2024-05-15 01:49:55,8.2473,1
2024-05-27 11:07:32,8.3575,0
2024-06-04 22:35:01,6.6282,1
2024-06-17 07:52:38,4.4274,1
2024-06-25 19:20:05,2.058,1
2024-07-08 04:37:40,9.4155,1
2024-07-16 16:05:09,6.3395,1
2024-07-29 01:22:46,6.8002,1
2024-08-06 12:50:13,7.9554,1
2024-08-27 09:35:17,7.2718,1
2024-09-08 18:52:56,7.0437,1
2024-09-17 06:20:24,0.1124,1
2024-09-29 15:38:04,4.5763,1
2024-10-08 03:05:31,9.6596,1
2024-10-20 12:23:08,5.4909,1
2024-10-28 23:50:34,1.5603,1
2024-11-10 09:08:12,3.8254,1
2024-11-18 20:35:39,-8.5914,1
2024-12-01 05:53:17,3.3915,1
2024-12-09 17:20:43,-1.6688,1
2024-12-22 02:38:20,3.0769,1
2024-12-30 14:05:48,3.5831,1
2025-01-11 23:23:24,3.5039,1
2025-01-20 10:50:53,2.6075,1
2025-02-01 20:08:29,2.5951,1
2025-02-10 07:35:56,2.3308,1
2025-02-22 16:53:34,2.3286,1
2025-03-03 04:21:01,1.3296,1
2025-03-15 13:38:38,3.4445,1
2025-03-24 01:06:06,2.8304,1
2025-04-05 10:23:42,1.9612,1
2025-04-13 21:51:11,-4.2329,1
2025-04-26 07:08:48,2.6118,1
2025-05-04 18:36:15,0.9449,1
2025-05-17 03:53:52,2.7772,1
2025-05-25 15:21:21,9.9586,1
2025-06-07 00:38:58,7.5042,1
2025-06-15 12:06:25,3.2289,1
2025-06-27 21:24:03,5.6861,1
2025-07-06 08:51:32,7.8673,1
2025-07-18 18:09:09,5.5334,1
2025-07-27 05:36:36,4.4786,1
2025-08-08 14:54:12,6.4184,1
2025-08-17 02:21:41,8.2515,1
2025-08-29 11:39:18,6.7486,1
2025-09-06 23:06:45,5.4602,1
2025-09-19 08:24:20,7.0655,1
2025-10-10 05:09:25,6.2659,1
2025-10-18 16:36:54,9.0993,1
2025-10-31 01:54:32,3.7788,1
2025-11-08 13:21:58,5.6154,1
2025-11-20 22:39:34,3.6104,1
2025-11-29 10:07:02,4.0407,1
2025-12-11 19:24:37,12.1165,1
2026-01-01 16:09:44,2.8921,1
2026-01-10 03:37:12,-26.583,1
2026-01-22 12:54:48,3.495,1
2026-01-31 00:22:16,-3.1984,1
2026-02-12 09:39:52,2.37,1
2026-02-20 21:07:20,-0.685,1
2026-03-05 06:25:00,2.0098,1
2026-03-13 17:52:28,9.6059,1
2026-03-26 03:10:05,2.2561,1
2026-04-03 14:37:31,-2.8512,1
2026-04-15 23:55:10,2.3743,1
2026-04-24 11:22:38,8.7034,1
2026-05-06 20:40:14,9.2896,1
2026-05-15 08:07:41,10.4595,1
2026-05-27 17:25:18,5.5769,1
2026-06-05 04:52:45,0.4917,1
2026-06-17 14:10:23,5.905,1
2026-06-26 01:37:51,1.9637,1
2026-07-08 10:55:27,7.6283,1
2026-07-16 22:22:54,2.2983,1
