Date,reach_id,wse,reach_q,dark_frac,xovr_cal_q,reach_q_b,wse_units,dark_frac_units
2023-07-30 23:20:52+00:00,45244301381,75.1679,2,0.0,0,822286,m,1
2023-09-02 05:22:35+00:00,45244301381,75.2212,1,0.0,0,8,m,1
2023-09-10 16:51:03+00:00,45244301381,74.9252,2,0.0,0,822284,m,1
2023-10-01 13:36:06+00:00,45244301381,74.8117,2,0.0,0,294926,m,1
2023-10-13 22:52:42+00:00,45244301381,74.6303,1,0.0,0,2052,m,1
2023-10-22 10:21:10+00:00,45244301381,73.9147,2,0.0,0,786446,m,1
2023-11-03 19:37:48+00:00,45244301381,74.3131,1,0.0,0,35844,m,1
2023-11-12 07:06:16+00:00,45244301381,73.6239,1,0.0,0,14,m,1
2023-11-24 16:22:53+00:00,45244301381,74.1461,1,0.0,0,2052,m,1
2023-12-03 03:51:21+00:00,45244301381,73.8768,2,0.0,0,788486,m,1
2023-12-15 13:07:56+00:00,45244301381,76.2541,2,0.0,0,294916,m,1
2024-01-05 09:53:03+00:00,45244301381,74.0496,2,0.0,0,294916,m,1
2024-01-13 21:21:31+00:00,45244301381,74.1484,1,0.0,0,2054,m,1
2024-01-26 06:38:09+00:00,45244301381,73.8059,1,0.0,0,4,m,1
2024-02-03 18:06:37+00:00,45244301381,73.6655,1,0.0,0,6,m,1
2024-02-16 03:23:14+00:00,45244301381,73.8317,1,0.0,0,12,m,1
2024-02-24 14:51:42+00:00,45244301381,74.0195,2,0.0,0,294918,m,1
2024-03-08 00:08:18+00:00,45244301381,73.9755,1,0.0,0,2052,m,1
2024-03-16 11:36:44+00:00,45244301381,73.7364,1,0.0,0,14,m,1
2024-03-28 20:53:21+00:00,45244301381,73.4729,1,0.0,0,12,m,1
2024-04-06 08:21:49+00:00,45244301381,73.5002,1,0.0,0,14,m,1
2024-04-18 17:38:27+00:00,45244301381,73.5334,1,0.0,0,2052,m,1
2024-04-27 05:06:55+00:00,45244301381,73.2237,1,0.0,0,14,m,1
2024-05-09 14:23:31+00:00,45244301381,73.1296,1,0.0,0,12,m,1
2024-05-18 01:51:59+00:00,45244301381,73.2559,1,0.0,0,14,m,1
2024-06-07 22:37:04+00:00,45244301381,73.4478,1,0.0,1,34822,m,1
2024-06-20 07:53:41+00:00,45244301381,75.2286,1,0.0,0,14,m,1
2024-06-28 19:22:08+00:00,45244301381,73.5136,2,0.0,0,821262,m,1
2024-07-11 04:38:44+00:00,45244301381,76.9228,2,0.0,0,262158,m,1
2024-07-19 16:07:13+00:00,45244301381,76.8774,2,0.0,0,294924,m,1
2024-08-01 01:23:49+00:00,45244301381,77.2629,1,0.0,0,14,m,1
2024-08-09 12:52:17+00:00,45244301381,75.6211,2,0.0,0,786446,m,1
2024-08-21 22:08:53+00:00,45244301381,76.0222,2,0.0,0,786444,m,1
2024-08-30 09:37:22+00:00,45244301381,76.367,2,0.0,0,294926,m,1
2024-10-02 15:39:07+00:00,45244301381,76.7567,2,0.0,0,297988,m,1
2024-10-11 03:07:34+00:00,45244301381,76.4907,2,0.0,0,819206,m,1
2024-10-23 12:24:11+00:00,45244301381,75.0638,2,0.0,0,262156,m,1
2024-10-31 23:52:37+00:00,45244301381,75.2918,2,0.0,2,786442,m,1
2024-11-13 09:09:15+00:00,45244301381,73.5172,2,0.0,0,524300,m,1
2024-11-21 20:37:43+00:00,45244301381,74.0594,2,0.0,0,296966,m,1
2025-01-14 23:24:28+00:00,45244301381,73.4631,1,0.0,0,34820,m,1
2025-01-23 10:52:57+00:00,45244301381,73.5823,1,0.0,0,2054,m,1
2025-05-20 03:54:56+00:00,45244301381,72.8281,1,0.0,0,12,m,1
2025-05-28 15:23:25+00:00,45244301381,79.7465,1,0.0,0,32782,m,1
2025-06-10 00:40:01+00:00,45244301381,72.8447,1,0.0,0,14,m,1
2025-06-18 12:08:28+00:00,45244301381,73.3115,2,0.0,0,788494,m,1
2025-06-30 21:25:07+00:00,45244301381,74.6012,1,0.0,0,14,m,1
2025-07-09 08:53:36+00:00,45244301381,74.0834,2,0.0,0,262158,m,1
2025-07-21 18:10:12+00:00,45244301381,77.2947,1,0.0,0,14,m,1
2025-07-30 05:38:40+00:00,45244301381,73.7222,2,0.0,0,788480,m,1
2025-08-11 14:55:16+00:00,45244301381,77.9576,2,0.0,0,262158,m,1
2025-08-20 02:23:45+00:00,45244301381,75.3585,2,0.0,0,786444,m,1
2025-09-01 11:40:21+00:00,45244301381,75.1928,2,0.0,0,822276,m,1
2025-09-09 23:08:48+00:00,45244301381,75.0021,2,0.0,0,294926,m,1
2025-09-22 08:25:23+00:00,45244301381,75.4541,2,0.0,0,262148,m,1
2025-09-30 19:53:52+00:00,45244301381,74.9132,2,0.0,0,294926,m,1
2025-10-13 05:10:29+00:00,45244301381,74.7395,1,0.0,0,12,m,1
2025-10-21 16:38:58+00:00,45244301381,74.365,2,0.0,0,294926,m,1
2025-11-03 01:55:35+00:00,45244301381,74.2827,1,0.0,0,12,m,1
2025-11-11 13:24:02+00:00,45244301381,74.0036,1,0.0,0,6,m,1
2025-11-23 22:40:38+00:00,45244301381,73.8021,1,0.0,0,2054,m,1
2025-12-02 10:09:06+00:00,45244301381,73.7009,2,0.0,2,524298,m,1
2025-12-14 19:25:41+00:00,45244301381,74.0621,1,0.0,0,35854,m,1
2025-12-23 06:54:10+00:00,45244301381,73.4734,1,0.0,0,34830,m,1
2026-01-04 16:10:47+00:00,45244301381,74.162,1,0.0,0,35844,m,1
2026-01-25 12:55:52+00:00,45244301381,73.6103,1,0.0,0,6,m,1
2026-02-03 00:24:19+00:00,45244301381,73.7913,2,0.0,0,262158,m,1
2026-02-15 09:40:55+00:00,45244301381,73.5485,1,0.0,0,14,m,1
2026-02-23 21:09:25+00:00,45244301381,73.6819,2,0.0,0,788486,m,1
